序号	代码	名称	最新价	涨跌幅	涨跌额	成交量	成交额	振幅	最高	最低	今开	昨收	量比	换手率	市盈率-动态	市净率	总市值	流通市值	涨速	5分钟涨跌	60日涨跌幅	年初至今涨跌幅
532	600212	绿能慧充	8.74	4.17	0.35	302944.0	260738314.0	5.36	8.8	8.35	8.36	8.39	1.52	5.88	4651.07	11.92	6155295442.0	4499502442.0	0.0	-0.11	13.8	15.61
552	601061	中信金属	9.4	4.1	0.37	374570.0	348178417.0	4.1	9.47	9.1	9.12	9.03	1.11	7.47	15.9	2.05	46060000000.0	4710846162.0	0.0	0.0	20.36	32.58
590	000506	招金黄金	10.42	3.99	0.4	605331.0	634114250.68	6.79	10.85	10.17	10.36	10.02	1.26	6.52	108.29	15.73	9680365070.0	9675849042.0	0.0	-0.19	14.25	162.47
592	000875	吉电股份	5.75	3.98	0.22	2272997.0	1324071246.94	7.05	6.06	5.67	5.69	5.53	1.84	6.8	14.37	1.19	20856806100.0	19218827985.0	0.17	0.0	13.64	9.73
593	603121	华培动力	18.31	3.98	0.7	177710.0	324886520.0	5.62	18.61	17.62	17.63	17.61	1.57	5.25	153.61	5.23	6198552322.0	6198552322.0	0.05	0.05	-14.4	69.07
594	600975	新五丰	6.53	3.98	0.25	742515.0	484523532.0	4.94	6.61	6.3	6.3	6.28	2.94	7.3	91.04	2.68	8236236975.0	6640723424.0	-0.15	-0.15	6.7	5.32
599	603663	三祥新材	30.98	3.96	1.18	355101.0	1081751639.0	9.46	31.9	29.08	30.11	29.8	1.52	8.4	146.01	9.63	13113826255.0	13098955855.0	0.16	0.23	32.62	95.09
605	002892	科力尔	15.09	3.93	0.57	362325.0	541572721.97	4.82	15.14	14.44	14.53	14.52	1.34	7.49	192.33	8.75	11223201986.0	7296741478.0	0.07	0.0	6.72	17.98
607	002979	雷赛智能	47.28	3.91	1.78	181654.0	853649194.61	6.57	48.0	45.01	45.28	45.5	1.06	8.32	62.44	8.54	14852579246.0	10317117968.0	-0.02	-0.13	8.32	55.17
608	002366	融发核电	7.71	3.91	0.29	1234565.0	944168760.87	4.99	7.79	7.42	7.42	7.42	1.53	9.83	-261.28	3.48	16044029204.0	9687340447.0	0.13	0.13	0.26	67.97
658	605305	中际联合	40.16	3.77	1.46	141483.0	563515914.0	4.81	40.66	38.8	39.09	38.7	1.61	6.66	16.28	3.1	8534803200.0	8534803200.0	0.02	0.05	49.29	44.05
685	002708	光洋股份	12.22	3.65	0.43	283779.0	343353684.3	6.02	12.46	11.75	11.75	11.79	1.6	5.52	64.86	4.09	6868837157.0	6281020391.0	0.16	0.08	14.74	9.69
700	002605	姚记科技	30.23	3.6	1.05	321170.0	960333563.71	5.17	30.5	28.99	29.01	29.18	1.97	9.52	24.68	3.56	12624788847.0	10194019396.0	-0.07	0.03	2.34	15.56
701	002332	仙琚制药	10.97	3.59	0.38	514638.0	563937435.24	5.48	11.24	10.66	10.66	10.59	1.9	5.23	17.6	1.81	10851577380.0	10800773610.0	0.09	0.09	18.08	13.8
704	002639	雪人集团	11.0	3.58	0.38	595739.0	645075905.37	4.9	11.05	10.53	10.53	10.62	1.52	9.16	157.99	3.4	8498623958.0	7156812366.0	-0.09	0.0	-2.31	60.58
761	002791	坚朗五金	22.38	3.42	0.74	113289.0	250779911.63	4.16	22.6	21.7	21.73	21.64	2.63	5.92	-130.12	1.44	7919946591.0	4280763236.0	-0.04	-0.13	3.42	-0.71
810	002981	朝阳科技	34.91	3.28	1.11	87110.0	299791193.0	6.01	35.01	32.98	33.27	33.8	1.58	7.29	45.02	4.51	4721686245.0	4168739773.0	0.0	-0.03	39.14	51.39
834	002036	联创电子	11.54	3.22	0.36	775776.0	894371811.88	5.55	11.8	11.18	11.18	11.18	1.34	7.36	252.74	5.66	12178984098.0	12156016255.0	-0.09	0.0	15.28	22.77
842	002249	大洋电机	8.4	3.19	0.26	1331689.0	1101462437.91	5.04	8.45	8.04	8.16	8.14	1.38	7.28	17.05	2.15	20516344649.0	15370640485.0	0.12	0.12	30.84	46.34
843	603991	至正股份	64.79	3.19	2.0	44043.0	287346067.0	4.57	67.0	64.13	66.85	62.79	1.69	5.91	-106.61	23.55	4829122520.0	4829122520.0	-0.02	-0.05	5.8	24.12
858	002192	融捷股份	38.35	3.15	1.17	228348.0	860622483.15	5.54	38.68	36.62	37.24	37.18	2.29	8.81	58.29	2.93	9957777035.0	9937260744.0	0.0	0.05	35.85	20.86
890	002315	焦点科技	49.32	3.07	1.47	101970.0	500598532.1	4.45	49.76	47.63	47.85	47.85	1.2	5.04	26.54	5.89	15646073059.0	9978188673.0	0.0	0.02	19.62	19.91
895	605133	嵘泰股份	45.12	3.06	1.34	151983.0	674787402.0	6.94	45.73	42.69	44.04	43.78	1.03	6.32	65.29	3.42	12760233431.0	10846580484.0	0.11	0.11	49.75	150.95
902	600052	东望时代	5.08	3.04	0.15	488942.0	247983949.0	6.09	5.2	4.9	4.94	4.93	1.72	5.79	32.24	1.57	4288509284.0	4288509284.0	0.4	0.4	20.09	12.39
946	002174	游族网络	14.94	2.96	0.43	827962.0	1192001911.11	8.68	15.03	13.77	14.53	14.51	1.54	8.42	146.46	3.03	14691326195.0	14683080435.0	0.47	0.4	13.1	59.79
962	600884	杉杉股份	12.66	2.93	0.36	1678265.0	2095524664.0	6.18	12.85	12.09	12.39	12.3	1.44	9.55	68.68	1.3	28477566846.0	22246613989.0	0.24	0.16	45.68	69.93
969	605068	明新旭腾	27.93	2.91	0.79	91271.0	252840605.0	7.04	28.25	26.34	26.39	27.14	1.7	5.63	-77.04	3.01	4528607068.0	4528607068.0	-0.32	0.18	64.2	107.66
1048	600400	红豆股份	2.63	2.73	0.07	1381514.0	359204806.0	8.2	2.71	2.5	2.51	2.56	1.01	6.03	-27.64	2.47	6026307971.0	6026307971.0	0.0	0.38	19.55	5.62
1049	603178	圣龙股份	20.72	2.73	0.55	174546.0	355495941.0	4.81	20.99	20.02	20.15	20.17	1.65	7.38	-44.42	3.97	4898454174.0	4898454174.0	0.29	-0.19	13.91	6.97
1081	002124	天邦食品	3.09	2.66	0.08	1063791.0	328052173.67	3.99	3.13	3.01	3.01	3.01	2.31	5.39	9.75	1.7	6865775541.0	6094575862.0	0.0	0.0	3.34	10.75
1102	600345	长江通信	28.13	2.63	0.72	144322.0	397683883.0	5.87	28.39	26.78	27.29	27.41	1.05	6.82	-906.95	2.67	9271989273.0	5951163025.0	-0.11	-0.07	12.75	21.93
1139	002196	方正电机	9.17	2.57	0.23	287953.0	261928881.0	3.02	9.18	8.91	8.91	8.94	1.2	5.9	-315.94	3.26	4547145598.0	4477577182.0	0.0	0.0	5.16	71.08
1143	600481	双良节能	6.41	2.56	0.16	1194251.0	747373036.0	5.28	6.45	6.12	6.2	6.25	1.52	6.37	-10.06	3.01	12010856931.0	12010856931.0	0.16	0.0	39.05	16.55
1153	601908	京运通	4.45	2.53	0.11	2411166.0	1070252470.0	6.22	4.58	4.31	4.35	4.34	1.22	9.99	-25.34	1.22	10744982731.0	10744982731.0	0.23	0.0	43.09	45.9
1161	603026	石大胜华	41.94	2.52	1.03	128365.0	531391132.0	4.35	42.38	40.6	41.59	40.91	1.84	6.33	-86.62	2.02	9759480527.0	8500399200.0	0.05	0.05	21.95	19.83
1197	600731	湖南海利	7.44	2.48	0.18	323240.0	238466795.0	5.65	7.63	7.22	7.29	7.26	2.72	5.79	14.49	1.26	4157043575.0	4151391028.0	0.4	0.54	11.71	35.27
1198	601311	骆驼股份	10.78	2.47	0.26	864688.0	914456896.0	4.47	10.82	10.35	10.63	10.52	1.8	7.37	11.89	1.3	12646515152.0	12646515152.0	0.09	-0.09	33.42	34.75
1252	000973	佛塑科技	7.73	2.38	0.18	951756.0	737511748.18	5.83	7.99	7.55	7.67	7.55	1.29	9.84	70.56	2.6	7478181112.0	7478181112.0	-0.26	-0.13	22.31	30.8
1253	002400	省广集团	8.16	2.38	0.19	1143107.0	934369999.28	4.39	8.35	8.0	8.0	7.97	1.39	6.62	116.9	2.87	14225630964.0	14085503283.0	0.0	0.0	5.43	2.38
1254	601609	金田股份	11.6	2.38	0.27	965410.0	1112320187.0	4.85	11.71	11.16	11.36	11.33	1.13	5.58	26.85	2.07	20051974925.0	20051974925.0	0.09	0.0	71.09	100.35
1259	003043	华亚智能	53.25	2.38	1.24	47351.0	250278287.26	5.15	53.93	51.25	52.03	52.01	1.01	5.93	133.9	4.19	7134846410.0	4250976468.0	0.23	0.26	30.74	81.37
1268	002385	大北农	4.33	2.36	0.1	1760611.0	760239405.18	2.6	4.34	4.23	4.23	4.23	1.72	5.0	39.56	2.13	18619340186.0	15259257251.0	-0.23	0.0	6.65	0.0
1294	000762	西藏矿业	22.87	2.33	0.52	333729.0	756043017.72	3.58	22.95	22.15	22.31	22.35	1.95	6.41	-389.39	4.06	11919252582.0	11910710134.0	0.04	0.04	24.56	6.62
1323	000607	华媒控股	4.94	2.28	0.11	739792.0	363924160.43	7.66	5.12	4.75	4.79	4.83	1.12	8.36	-47.25	3.23	5027430145.0	4372065213.0	0.2	0.0	17.62	33.15
1382	600338	西藏珠峰	13.12	2.18	0.28	896108.0	1157905275.0	3.74	13.15	12.67	12.88	12.84	1.07	9.8	19.94	2.89	11994437404.0	11994437404.0	0.08	0.23	27.26	23.54
1520	603127	昭衍新药	34.69	2.0	0.68	480314.0	1663915213.0	4.56	35.35	33.8	34.88	34.01	1.17	7.62	213.35	3.21	25999368716.0	21871425020.0	0.12	0.17	71.82	108.98
1521	002612	朗姿股份	18.87	2.0	0.37	132379.0	249097354.77	3.3	18.98	18.37	18.42	18.5	1.01	5.2	15.23	2.92	8348944226.0	4806929213.0	-0.05	-0.05	6.01	18.23
