序号	代码	名称	最新价	涨跌幅	涨跌额	成交量	成交额	振幅	最高	最低	今开	昨收	量比	换手率	市盈率-动态	市净率	总市值	流通市值	涨速	5分钟涨跌	60日涨跌幅	年初至今涨跌幅
256	601011	宝泰隆	3.02	5.96	0.17	1194221.0	358722302.0	8.42	3.1	2.86	2.87	2.85	2.93	6.23	29.25	1.0	5785306908.0	5785306908.0	0.0	0.0	16.15	0.33
261	600363	联创光电	65.05	5.94	3.65	245603.0	1569585576.0	9.77	67.0	61.0	63.0	61.4	1.35	5.42	56.03	6.72	29501114973.0	29501114973.0	0.03	0.02	2.68	36.0
271	002170	芭田股份	11.03	5.85	0.61	517886.0	565091178.49	5.47	11.07	10.5	10.5	10.42	1.25	6.6	11.69	2.88	10667709800.0	8650450395.0	-0.09	-0.18	7.71	30.53
283	002747	埃斯顿	24.9	5.73	1.35	567614.0	1401518421.63	6.88	25.18	23.56	23.56	23.55	1.33	7.25	1622.83	10.85	21688359480.0	19481888310.0	0.08	0.4	27.89	34.59
305	603305	旭升集团	15.64	5.53	0.82	620629.0	957580324.0	6.82	15.85	14.84	14.84	14.82	1.93	6.51	37.16	2.3	14909873563.0	14909873563.0	0.0	-0.06	21.43	22.47
307	601226	华电科工	7.67	5.5	0.4	599672.0	447491509.0	8.25	7.78	7.18	7.23	7.27	1.43	5.16	82.64	2.06	8941090041.0	8914255779.0	0.13	-0.39	26.15	13.97
314	002850	科达利	145.95	5.44	7.53	112888.0	1644113428.2	5.23	148.48	141.24	141.46	138.42	1.54	5.74	25.94	3.32	39918307681.0	28728461293.0	0.01	0.3	34.19	52.54
319	002674	兴业科技	14.22	5.41	0.73	191375.0	269317068.75	4.08	14.3	13.75	14.16	13.49	2.36	6.54	67.24	1.75	4202734424.0	4160255131.0	0.07	0.0	48.74	52.25
322	001330	博纳影业	5.67	5.39	0.29	610688.0	338632916.58	5.58	5.69	5.39	5.39	5.38	1.33	5.73	-3.69	1.84	7793522639.0	6041311171.0	0.53	1.25	15.71	-7.5
335	000700	模塑科技	9.8	5.26	0.49	686936.0	668283723.43	8.59	10.05	9.25	9.32	9.31	1.55	7.48	15.34	2.3	8996550812.0	8996550812.0	0.0	-0.2	38.42	44.12
338	600503	华丽家族	3.42	5.23	0.17	1470601.0	492582211.0	6.15	3.44	3.24	3.25	3.25	1.42	9.18	-263.14	1.53	5479831800.0	5479831800.0	0.29	0.0	36.8	31.54
341	603477	巨星农牧	21.77	5.22	1.08	405573.0	875167093.0	5.03	21.89	20.85	20.9	20.69	2.66	7.95	30.64	3.58	11104231149.0	11104231149.0	0.0	-0.05	1.11	23.83
342	603876	鼎胜新材	11.7	5.22	0.58	779612.0	882431038.0	8.27	11.8	10.88	11.17	11.12	1.24	8.39	28.93	1.5	10872426392.0	10872426392.0	0.26	0.52	34.79	33.11
364	002779	中坚科技	117.6	5.05	5.65	94772.0	1115914648.26	5.97	119.74	113.06	113.47	111.95	1.23	5.72	212.82	27.68	21732480000.0	19499060196.0	0.09	0.17	57.01	142.52
391	603662	柯力传感	72.09	4.93	3.39	168464.0	1211138026.0	5.88	72.87	68.83	69.08	68.7	1.2	6.0	58.57	7.12	20245025184.0	20245025184.0	-0.03	-0.08	14.57	12.08
403	000962	东方钽业	23.65	4.88	1.1	441247.0	1038306575.74	7.49	24.25	22.56	23.3	22.55	1.73	8.8	41.25	4.4	11940039938.0	11863443643.0	0.04	-0.04	43.51	73.64
405	003021	兆威机电	122.15	4.87	5.67	106723.0	1297835254.63	7.43	124.65	116.0	116.0	116.48	1.06	5.16	129.51	8.92	29340002475.0	25263660314.0	-0.07	-0.11	22.73	65.9
419	002487	大金重工	41.69	4.8	1.91	450982.0	1862350641.64	5.05	42.16	40.15	41.01	39.78	1.88	7.15	24.32	3.42	26587770360.0	26303065890.0	0.07	0.05	36.06	104.26
436	601177	杭齿前进	19.42	4.69	0.87	230105.0	440078511.0	5.12	19.5	18.55	18.57	18.55	1.11	5.75	31.09	2.88	7922874500.0	7769165200.0	0.0	0.05	16.43	136.25
443	600284	浦东建设	9.07	4.61	0.4	621561.0	559283692.0	10.27	9.46	8.57	8.78	8.67	1.56	6.41	19.36	1.12	8800221920.0	8800221920.0	0.11	-0.22	33.97	47.0
444	002590	万安科技	15.0	4.6	0.66	285639.0	424821995.83	4.67	15.15	14.48	14.59	14.34	1.72	5.77	45.7	2.66	7785787155.0	7424352975.0	0.2	-0.07	11.61	23.36
454	000799	酒鬼酒	68.75	4.55	2.99	304538.0	2098401116.19	7.47	70.68	65.77	65.77	65.76	1.24	9.37	1247.29	5.91	22338867375.0	22336908000.0	0.23	0.2	70.89	24.95
459	002314	南山控股	3.0	4.53	0.13	1119562.0	337979295.99	6.27	3.12	2.94	2.95	2.87	1.25	8.37	44.38	0.91	8123347539.0	4014831792.0	0.0	0.33	15.38	26.05
465	600405	动力源	7.2	4.5	0.31	409674.0	288535741.0	5.37	7.21	6.84	6.99	6.89	1.15	6.71	-24.15	16.26	4412373034.0	4392859658.0	0.0	0.0	53.85	27.21
531	603516	淳中科技	102.73	4.17	4.11	137985.0	1397488805.0	7.96	104.85	97.0	97.0	98.62	1.03	6.79	-260.9	15.1	20881544842.0	20881544842.0	0.09	0.13	193.77	86.68
