序号	代码	名称	最新价	涨跌幅	涨跌额	成交量	成交额	振幅	最高	最低	今开	昨收	量比	换手率	市盈率-动态	市净率	总市值	流通市值	涨速	5分钟涨跌	60日涨跌幅	年初至今涨跌幅
102	605388	均瑶健康	9.01	6.0	0.51	571027.0	508054087.0	11.18	9.33	8.38	8.5	8.5	1.29	9.51	362.33	3.14	5410360840.0	5410360840.0	-0.77	1.35	0.0	45.09
104	603181	皇马科技	17.46	5.95	0.98	320956.0	545765461.0	9.16	17.9	16.39	16.44	16.48	1.57	5.45	23.5	3.2	10278702000.0	10278702000.0	0.06	-0.63	46.97	54.24
116	002091	江苏国泰	9.1	5.57	0.48	977893.0	881655762.43	11.25	9.47	8.5	8.55	8.62	1.92	6.12	13.6	0.97	14811452565.0	14534987968.0	0.0	0.11	25.34	29.63
117	000506	招金黄金	11.0	5.57	0.58	886659.0	967021211.13	7.49	11.22	10.44	10.73	10.42	1.87	9.55	114.32	16.61	10219195371.0	10214427971.0	0.09	0.0	20.35	177.08
127	002305	*ST南置	2.63	5.2	0.13	927792.0	233315578.4	8.4	2.63	2.42	2.48	2.5	1.03	5.35	-2.54	-1.72	4560987475.0	4560691616.0	0.0	0.0	28.29	32.16
137	600916	中国黄金	8.85	5.11	0.43	1432885.0	1253552432.0	6.65	9.0	8.44	8.45	8.42	3.21	8.53	23.32	2.07	14868000000.0	14868000000.0	0.11	0.11	6.5	7.01
163	603098	森特股份	16.41	4.66	0.73	431999.0	719323731.0	6.44	17.21	16.2	16.41	15.68	2.6	8.02	61.46	3.16	8856476639.0	8841707639.0	-0.18	-0.3	76.07	71.83
167	600301	华锡有色	33.15	4.57	1.45	159887.0	534395638.0	9.97	34.86	31.7	31.7	31.7	1.01	5.81	27.46	4.79	20969611929.0	9127377825.0	-0.06	0.24	68.79	94.89
168	002674	兴业科技	14.87	4.57	0.65	218369.0	324991789.82	9.56	15.59	14.23	14.52	14.22	2.18	7.46	70.32	1.83	4394842537.0	4350421505.0	0.0	-0.13	58.02	59.21
198	605500	森林包装	10.29	4.15	0.41	239959.0	243441111.0	5.67	10.35	9.79	9.87	9.88	3.74	5.79	68.48	1.67	4264176000.0	4264176000.0	0.19	0.19	42.13	51.1
199	000722	湖南发展	12.89	4.12	0.51	333765.0	432038728.17	4.93	13.27	12.66	12.79	12.38	3.18	7.19	73.06	1.92	5983000255.0	5983000255.0	-0.08	0.0	-1.75	37.13
201	002785	万里石	30.36	4.08	1.19	139934.0	422293602.0	8.4	31.17	28.72	29.01	29.17	2.39	7.23	658.33	7.71	6880173940.0	5874508898.0	0.03	0.07	-14.16	-7.3
211	002575	群兴玩具	8.62	3.98	0.33	391658.0	339347974.25	6.03	8.88	8.38	8.49	8.29	1.78	6.63	-155.74	6.42	5314230000.0	5095445780.0	-0.12	0.0	0.47	4.61
214	603988	中电电机	26.6	3.91	1.0	197757.0	519555326.0	7.07	27.1	25.29	25.82	25.6	2.1	8.41	89.45	9.38	6256320000.0	6256320000.0	-0.04	-0.11	-7.19	9.06
217	002527	新时达	17.58	3.84	0.65	454348.0	795864725.35	8.39	18.0	16.58	16.85	16.93	1.72	8.58	3124.4	9.32	11656617496.0	9304748166.0	0.0	0.06	24.5	100.23
241	002695	煌上煌	13.41	3.55	0.46	273871.0	363471524.09	4.25	13.54	12.99	13.12	12.95	2.45	5.36	48.77	2.71	7502451142.0	6857018227.0	0.22	0.22	41.9	59.26
243	000599	青岛双星	5.58	3.53	0.19	447408.0	247879428.45	6.31	5.68	5.34	5.38	5.39	1.37	5.48	-12.23	3.25	4557515147.0	4557437725.0	0.18	0.18	11.16	25.68
