序号	代码	名称	最新价	涨跌幅	涨跌额	成交量	成交额	振幅	最高	最低	今开	昨收	量比	换手率	市盈率-动态	市净率	总市值	流通市值	涨速	5分钟涨跌	60日涨跌幅	年初至今涨跌幅
248	603026	石大胜华	43.37	3.48	1.46	146013.0	637745237.0	10.24	45.8	41.51	41.71	41.91	1.7	7.2	-89.57	2.09	10092242977.0	8790231600.0	-0.02	-0.07	23.49	23.91
257	002335	科华数据	55.51	3.35	1.8	440152.0	2442352133.64	8.01	57.4	53.1	54.48	53.71	1.09	9.68	58.74	4.6	28610633416.0	25238878468.0	0.07	0.07	35.79	92.61
266	600478	科力远	6.7	3.24	0.21	1457904.0	971781639.0	6.93	6.84	6.39	6.4	6.49	1.43	8.75	108.94	3.94	11159124137.0	11159124137.0	0.3	0.3	21.38	62.23
299	600108	亚盛集团	3.09	3.0	0.09	984479.0	301500413.0	3.33	3.1	3.0	3.02	3.0	2.46	5.06	107.42	1.4	6015967724.0	6015967724.0	0.0	0.32	4.75	5.82
324	000422	湖北宜化	14.95	2.75	0.4	548638.0	813946023.85	4.54	15.08	14.42	14.55	14.55	1.47	5.19	20.4	2.97	16273407069.0	15814157601.0	-0.13	0.13	24.27	20.37
330	603822	嘉澳环保	86.98	2.7	2.29	40552.0	355700472.0	6.1	89.85	84.68	87.5	84.69	1.55	5.28	-42.71	16.89	6682315564.0	6682315564.0	-0.29	0.17	45.96	78.38
333	600961	株冶集团	14.99	2.67	0.39	653646.0	988286749.0	8.36	15.7	14.48	14.63	14.6	1.13	8.69	13.74	4.72	16082361818.0	11269667846.0	-0.13	0.0	34.92	90.47
338	603657	春光科技	45.8	2.64	1.18	104938.0	485796986.0	6.07	47.33	44.62	46.42	44.62	2.04	7.76	419.57	6.52	6191704290.0	6191704290.0	0.15	0.28	37.95	167.84
343	002146	荣盛发展	1.57	2.61	0.04	3164746.0	499224969.68	7.19	1.63	1.52	1.53	1.53	1.52	8.09	-1.19	0.57	6826617246.0	6141088521.0	-0.63	-0.63	13.77	-4.85
354	002692	远程股份	6.02	2.56	0.15	583632.0	352389993.04	9.37	6.29	5.74	5.85	5.87	1.06	8.13	51.52	3.6	4323238920.0	4320608030.0	0.33	0.33	23.61	54.36
381	000560	我爱我家	3.08	2.33	0.07	2052323.0	629741675.56	3.32	3.1	3.0	3.02	3.01	2.01	9.1	94.46	0.77	7254942621.0	6948290485.0	0.0	-0.32	3.7	0.98
395	600637	东方明珠	8.8	2.21	0.19	1778749.0	1583081407.0	7.2	9.26	8.64	9.2	8.61	3.42	5.29	42.96	0.99	29584718390.0	29584718390.0	0.23	0.23	20.71	16.09
414	600459	贵研铂业	17.4	2.11	0.36	386592.0	672329275.0	4.64	17.73	16.94	17.01	17.04	1.11	5.13	20.35	1.78	13220643992.0	13116808309.0	0.23	0.23	16.23	28.98
420	000049	德赛电池	26.81	2.09	0.55	345492.0	921926899.6	5.18	27.17	25.81	26.11	26.26	1.41	8.98	52.86	1.58	10312159097.0	10309379650.0	-0.11	0.0	24.93	15.66
